ComparatorId,Number of Batches,Offset,batch size,timePeriod
2,10,0,10,30
2,10,0,20,30
2,10,0,30,30
2,10,0,40,30
2,10,50,10,30
2,10,50,20,30
2,10,50,30,30
2,10,50,40,30
2,10,0,10,60
2,10,0,20,60
2,10,0,30,60
2,10,0,40,60
2,10,50,10,60
2,10,50,20,60
2,10,50,30,60
2,10,50,40,60
2,10,0,10,90
2,10,0,20,90
2,10,0,30,90
2,10,0,40,90
2,10,50,10,90
2,10,50,20,90
2,10,50,30,90
2,10,50,40,90
2,10,0,10,120
2,10,0,20,120
2,10,0,30,120
2,10,0,40,120
2,10,50,10,120
2,10,50,20,120
2,10,50,30,120
2,10,50,40,120
2,10,0,10,150
2,10,0,20,150
2,10,0,30,150
2,10,0,40,150
2,10,50,10,150
2,10,50,20,150
2,10,50,30,150
2,10,50,40,150
2,10,0,10,180
2,10,0,20,180
2,10,0,30,180
2,10,0,40,180
2,10,50,10,180
2,10,50,20,180
2,10,50,30,180
2,10,50,40,180
2,10,0,10,210
2,10,0,20,210
2,10,0,30,210
2,10,0,40,210
2,10,50,10,210
2,10,50,20,210
2,10,50,30,210
2,10,50,40,210
4,10,0,10,30
4,10,0,20,30
4,10,0,30,30
4,10,0,40,30
4,10,50,10,30
4,10,50,20,30
4,10,50,30,30
4,10,50,40,30
4,10,0,10,60
4,10,0,20,60
4,10,0,30,60
4,10,0,40,60
4,10,50,10,60
4,10,50,20,60
4,10,50,30,60
4,10,50,40,60
4,10,0,10,90
4,10,0,20,90
4,10,0,30,90
4,10,0,40,90
4,10,50,10,90
4,10,50,20,90
4,10,50,30,90
4,10,50,40,90
4,10,0,10,120
4,10,0,20,120
4,10,0,30,120
4,10,0,40,120
4,10,50,10,120
4,10,50,20,120
4,10,50,30,120
4,10,50,40,120
4,10,0,10,150
4,10,0,20,150
4,10,0,30,150
4,10,0,40,150
4,10,50,10,150
4,10,50,20,150
4,10,50,30,150
4,10,50,40,150
4,10,0,10,180
4,10,0,20,180
4,10,0,30,180
4,10,0,40,180
4,10,50,10,180
4,10,50,20,180
4,10,50,30,180
4,10,50,40,180
4,10,0,10,210
4,10,0,20,210
4,10,0,30,210
4,10,0,40,210
4,10,50,10,210
4,10,50,20,210
4,10,50,30,210
4,10,50,40,210
