ComparatorId,Number of Batches,Offset,batch size,timePeriod
2,10,0,10,30,436.275
2,10,0,20,30,869.4375
2,10,0,30,30,1455.5416666666667
2,10,0,40,30,1922.375
2,10,50,10,30,406.9
2,10,50,20,30,837.2
2,10,50,30,30,1401.3916666666667
2,10,50,40,30,1868.00625
2,10,0,10,60,356.3
2,10,0,20,60,796.175
2,10,0,30,60,1381.85
2,10,0,40,60,1859.56875
2,10,50,10,60,331.075
2,10,50,20,60,763.425
2,10,50,30,60,1329.4416666666666
2,10,50,40,60,1805.4375
2,10,0,10,90,275.975
2,10,0,20,90,724.3375
2,10,0,30,90,1296.4416666666666
2,10,0,40,90,1772.11875
2,10,50,10,90,256.2
2,10,50,20,90,680.2375
2,10,50,30,90,1236.9833333333333
2,10,50,40,90,1714.1625
2,10,0,10,120,216.325
2,10,0,20,120,628.3875
2,10,0,30,120,1212.1583333333333
2,10,0,40,120,1680.1875
2,10,50,10,120,201.475
2,10,50,20,120,600.6625
2,10,50,30,120,1153.0083333333334
2,10,50,40,120,1631.75
2,10,0,10,150,159.025
2,10,0,20,150,555.2
2,10,0,30,150,1122.3916666666667
2,10,0,40,150,1590.98125
2,10,50,10,150,133.95
2,10,50,20,150,516.8125
2,10,50,30,150,1066.625
2,10,50,40,150,1538.95625
2,10,0,10,180,124.75
2,10,0,20,180,479.2625
2,10,0,30,180,1040.0666666666666
2,10,0,40,180,1502.65
2,10,50,10,180,100.925
2,10,50,20,180,460.675
2,10,50,30,180,980.7833333333333
2,10,50,40,180,1454.60625
2,10,0,10,210,114.075
2,10,0,20,210,433.9375
2,10,0,30,210,953.975
2,10,0,40,210,1387.025
2,10,50,10,210,96.275
2,10,50,20,210,407.8375
2,10,50,30,210,892.3916666666667
2,10,50,40,210,1366.525
4,10,0,10,30,443.1
4,10,0,20,30,879.9375
4,10,0,30,30,1472.8416666666667
4,10,0,40,30,1945.4375
4,10,50,10,30,410.475
4,10,50,20,30,851.1125
4,10,50,30,30,1417.7833333333333
4,10,50,40,30,1895.86875
4,10,0,10,60,356.675
4,10,0,20,60,799.7
4,10,0,30,60,1389.575
4,10,0,40,60,1871.94375
4,10,50,10,60,331.75
4,10,50,20,60,766.9375
4,10,50,30,60,1335.4083333333333
4,10,50,40,60,1816.0375
4,10,0,10,90,277.625
4,10,0,20,90,728.2375
4,10,0,30,90,1301.7916666666667
4,10,0,40,90,1783.63125
4,10,50,10,90,257.225
4,10,50,20,90,682.7375
4,10,50,30,90,1243.675
4,10,50,40,90,1719.89375
4,10,0,10,120,217.225
4,10,0,20,120,631.725
4,10,0,30,120,1217.6666666666667
4,10,0,40,120,1689.8
4,10,50,10,120,202.55
4,10,50,20,120,605.5625
4,10,50,30,120,1158.2666666666667
4,10,50,40,120,1639.10625
4,10,0,10,150,160.1
4,10,0,20,150,558.95
4,10,0,30,150,1128.275
4,10,0,40,150,1601.23125
4,10,50,10,150,134.45
4,10,50,20,150,519.9125
4,10,50,30,150,1073.4
4,10,50,40,150,1548.7
4,10,0,10,180,125.25
4,10,0,20,180,481.45
4,10,0,30,180,1047.3833333333334
4,10,0,40,180,1510.0625
4,10,50,10,180,101.75
4,10,50,20,180,462.45
4,10,50,30,180,984.9916666666667
4,10,50,40,180,1462.35625
4,10,0,10,210,115.075
4,10,0,20,210,439.1
4,10,0,30,210,959.1916666666667
4,10,0,40,210,1395.16875
4,10,50,10,210,97.05
4,10,50,20,210,411.2125
4,10,50,30,210,898.6416666666667
4,10,50,40,210,1375.125
